Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2019,,Kern,,URBANIZATION,8.6023,,,,,
,2019,,Kings,,URBANIZATION,0.9074,,,,,
,2019,,Lake,,URBANIZATION,0.6142,,,,,
,2019,,Lassen,,URBANIZATION,0.0206,,,,,
,2019,,Los Angeles,,URBANIZATION,16.9968,,,,,
,2019,,Madera,,URBANIZATION,0.951,,,,,
,2019,,Marin,,URBANIZATION,0.6786,,,,,
,2019,,Mariposa,,URBANIZATION,0.0412,,,,,
,2019,,Mendocino,,URBANIZATION,0.2571,,,,,
,2019,,Merced,,URBANIZATION,1.968,,,,,
,2019,,Modoc,,URBANIZATION,0.0099,,,,,
,2019,,Mono,,URBANIZATION,0.0353,,,,,
,2019,,Monterey,,URBANIZATION,3.2971,,,,,
,2019,,Napa,,URBANIZATION,0.9509,,,,,
,2019,,Nevada,,URBANIZATION,0.0962,,,,,
,2019,,Orange,,URBANIZATION,11.0812,,,,,
,2019,,Placer,,URBANIZATION,3.6431,,,,,
,2019,,Plumas,,URBANIZATION,0.0029,,,,,
,2019,,Riverside,,URBANIZATION,27.8006,,,,,
,2019,,Sacramento,,URBANIZATION,10.2511,,,,,
,2019,,San Benito,,URBANIZATION,0.64,,,,,
,2019,,San Bernardino,,URBANIZATION,18.0223,,,,,
,2019,,San Diego,,URBANIZATION,19.0332,,,,,
,2019,,San Francisco,,URBANIZATION,1.517,,,,,
,2019,,San Joaquin,,URBANIZATION,6.7979,,,,,
,2019,,San Luis Obispo,,URBANIZATION,2.9824,,,,,
,2019,,San Mateo,,URBANIZATION,2.7234,,,,,
,2019,,Santa Barbara,,URBANIZATION,2.5851,,,,,
,2019,,Santa Clara,,URBANIZATION,8.6271,,,,,
,2019,,Santa Cruz,,URBANIZATION,1.6447,,,,,
,2019,,Shasta,,URBANIZATION,0.6703,,,,,
,2019,,Sierra Valley,,URBANIZATION,0,,,,,
,2019,,Siskiyou,,URBANIZATION,0.0344,,,,,
,2019,,Solano,,URBANIZATION,2.2067,,,,,
,2019,,Sonoma,,URBANIZATION,2.4097,,,,,
,2019,,Stanislaus,,URBANIZATION,3.3353,,,,,
,2019,,Sutter,,URBANIZATION,0.5148,,,,,
,2019,,Tehama,,URBANIZATION,0.2327,,,,,
,2019,,Trinity,,URBANIZATION,0.0303,,,,,
,2019,,Tulare,,URBANIZATION,2.2136,,,,,
,2019,,Tuolumne,,URBANIZATION,0.0583,,,,,
,2019,,Ventura,,URBANIZATION,3.0881,,,,,
,2019,,Yolo,,URBANIZATION,2.057,,,,,
,2019,,Yuba,,URBANIZATION,0.3339,,,,,
,2020,,Alameda,,URBANIZATION,9.0423,,,,,
,2020,,Alpine,,URBANIZATION,0,,,,,
,2020,,Amador,,URBANIZATION,0.0934,,,,,
,2020,,Butte,,URBANIZATION,1.0623,,,,,
