Timestep,StockGroup,LULC,Mean,Lower,Upper
2024,Live,Shrubland,108.1,96.7,121.7
2024,Live,SnowIce,0,0,0
2024,Live,Water,0,0,0
2024,Live,Wetland,0.1,0.1,0.2
2024,Soil,Agriculture,374,365.9,387.2
2024,Soil,Barren,0,0,0
2024,Soil,Developed,18.3,16,20.3
2024,Soil,Forest,1500.8,1490.5,1516.4
2024,Soil,Grassland,339,329.4,349.6
2024,Soil,Shrubland,332.6,328.9,337.5
2024,Soil,SnowIce,0,0,0
2024,Soil,Water,0,0,0
2024,Soil,Wetland,2.8,2.2,3.6
2025,DOM,Agriculture,13.5,10.8,17
2025,DOM,Barren,0,0,0
2025,DOM,Developed,0,0,0
2025,DOM,Forest,521,376.5,737.7
2025,DOM,Grassland,13.2,10.3,17.2
2025,DOM,Shrubland,26.1,23,29.6
2025,DOM,SnowIce,0,0,0
2025,DOM,Water,0,0,0
2025,DOM,Wetland,0.1,0.1,0.1
2025,Live,Agriculture,66.9,50,84.5
2025,Live,Barren,0,0,0
2025,Live,Developed,0.5,0.4,0.6
2025,Live,Forest,1328.3,1028.2,1469.9
