GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CanESM2-ES,rcp45,2071,16.954036060821213,16.850603926081344,16.76883216921521,Mean Annual Temperature
CanESM2-ES,rcp85,2071,18.532277471398455,18.371510823593233,18.425363896622986,Mean Annual Temperature
CNRM-CM5,rcp45,2071,16.9975136871709,16.281700233834293,16.248825616315237,Mean Annual Temperature
CNRM-CM5,rcp85,2071,18.140612348085043,17.601585297386894,17.659060374429735,Mean Annual Temperature
HadGEM2-ES,rcp45,2071,17.444912047843314,16.96953491017174,16.99333851876371,Mean Annual Temperature
HadGEM2-ES,rcp85,2071,18.61963624001828,18.420853636735785,18.668277205221447,Mean Annual Temperature
MIROC5,rcp45,2071,16.505826967980273,16.05584454975408,16.18397030783102,Mean Annual Temperature
MIROC5,rcp85,2071,16.965665626051244,17.203508698469957,17.170374711291633,Mean Annual Temperature
CanESM2-ES,rcp45,2072,16.711521988975488,16.75535469207488,16.830483950749816,Mean Annual Temperature
CanESM2-ES,rcp85,2072,18.91493916690124,18.76500076205118,18.519602098491557,Mean Annual Temperature
CNRM-CM5,rcp45,2072,15.854882185487673,16.32971414355356,16.28562207739736,Mean Annual Temperature
CNRM-CM5,rcp85,2072,17.380273468835256,17.712105351046297,17.70791736046194,Mean Annual Temperature
HadGEM2-ES,rcp45,2072,16.664474809395873,16.94103181777546,16.964403046152064,Mean Annual Temperature
HadGEM2-ES,rcp85,2072,18.56639868131748,18.69697083807092,18.678243296149045,Mean Annual Temperature
MIROC5,rcp45,2072,16.275015765042447,16.3435367661831,16.127854046842685,Mean Annual Temperature
MIROC5,rcp85,2072,17.232856556786352,17.324701558548906,17.17646796931089,Mean Annual Temperature
CanESM2-ES,rcp45,2073,16.50496630223773,16.87554392784352,16.834803239035296,Mean Annual Temperature
CanESM2-ES,rcp85,2073,19.36437733214621,18.751318246001954,18.59113299891601,Mean Annual Temperature
CNRM-CM5,rcp45,2073,16.35900816777355,16.29584971720296,16.30378716833489,Mean Annual Temperature
CNRM-CM5,rcp85,2073,17.65839333554991,17.799288772152316,17.765097993908043,Mean Annual Temperature
HadGEM2-ES,rcp45,2073,17.02291090802005,16.989566923447615,17.087694341032176,Mean Annual Temperature
HadGEM2-ES,rcp85,2073,18.800891062754687,18.884508423888217,18.759716785046603,Mean Annual Temperature
MIROC5,rcp45,2073,16.069369707458392,16.21151511739017,16.25759248161503,Mean Annual Temperature
MIROC5,rcp85,2073,17.51987299849849,17.113847857979124,17.272338989502906,Mean Annual Temperature
CanESM2-ES,rcp45,2074,17.06836783086988,16.793747655365397,16.769256382336575,Mean Annual Temperature
CanESM2-ES,rcp85,2074,19.036960862093323,18.928013800176778,18.772787393680478,Mean Annual Temperature
CNRM-CM5,rcp45,2074,16.387773933059254,16.080469782236396,16.287572893258023,Mean Annual Temperature
CNRM-CM5,rcp85,2074,18.264479334767476,17.843739880413306,17.73780851717168,Mean Annual Temperature
HadGEM2-ES,rcp45,2074,17.24457150603526,17.04552987550339,17.09193238067963,Mean Annual Temperature
HadGEM2-ES,rcp85,2074,19.259277903780063,18.872557743544377,18.96524739359611,Mean Annual Temperature
MIROC5,rcp45,2074,16.678215786565616,16.336996671429777,16.32496136773366,Mean Annual Temperature
MIROC5,rcp85,2074,17.573188803329945,17.25385828422893,17.342349146434202,Mean Annual Temperature
CanESM2-ES,rcp45,2075,17.138827456313297,16.870990062722548,16.830432435859542,Mean Annual Temperature
CanESM2-ES,rcp85,2075,17.90803639747054,18.894756127969437,18.855933652998864,Mean Annual Temperature
CNRM-CM5,rcp45,2075,15.880070612523426,16.308956132199526,16.27729076851751,Mean Annual Temperature
CNRM-CM5,rcp85,2075,17.552685373523893,17.871407247187214,17.866769085240083,Mean Annual Temperature
