Timestep,Flux,Mean,Lower,Upper
2035,Emission (Clearcut),0.4,0.1,0.6
2035,Emission (Fire),3.6,1.4,6.8
2035,Emission (Orchard Removal),2.2,0.8,3.9
2035,Emission (Urban),0.9,0.4,1.8
2035,Harvest (AgExpand),0.1,0,0.2
2035,Harvest (Clearcut),3.2,1.2,5.2
2035,Harvest (Grain),8.9,6.4,10.3
2035,Harvest (Straw),5.6,3.6,6.7
2035,Harvest (Thinning),0.6,0.2,1.1
2035,Harvest (Urban),0.1,0,0.2
2035,Leaching,2.2,2.2,2.3
2035,LULCC,35.4,29.6,41.2
2035,Mortality,11.7,9.3,13.9
2035,Mortality (Fire),1.9,0.8,3.7
2035,Mortality (Harvest),1.6,0.6,2.6
2035,Mortality (Insects),6.1,1.4,12.7
2035,NECB,-22.2,-54.7,7.2
2035,NEP,13.2,-21.3,41.7
2035,NPP,125.7,92.6,145.2
2035,Rh,112.5,99.2,122.1
2036,Emission (AgExpand),0.5,0.2,0.9
2036,Emission (Biomass),7.3,5.9,8.2
2036,Emission (Clearcut),0.4,0.1,0.7
2036,Emission (Fire),3.1,1,6
2036,Emission (Orchard Removal),2.3,0.9,4.1
2036,Emission (Urban),0.9,0.4,1.7
2036,Harvest (AgExpand),0.1,0,0.2
2036,Harvest (Clearcut),3.2,1.2,5.3
2036,Harvest (Grain),10.4,8,12.8
2036,Harvest (Straw),6.9,4.9,8.8
2036,Harvest (Thinning),0.6,0.2,1.1
2036,Harvest (Urban),0.1,0,0.2
2036,Leaching,2.2,2.2,2.3
2036,LULCC,38,30.9,44.7
2036,Mortality,11.6,9.7,13.6
2036,Mortality (Fire),1.7,0.6,3.3
2036,Mortality (Harvest),1.6,0.6,2.6
2036,Mortality (Insects),5.5,0.9,20.3
2036,NECB,7.2,-27.4,40.1
2036,NEP,45.2,6.6,80.9
2036,NPP,158.2,113,189.6
2036,Rh,113,103.7,120.7
2037,Emission (AgExpand),0.5,0.2,0.9
2037,Emission (Biomass),7.3,5.9,8.2
2037,Emission (Clearcut),0.4,0.1,0.7
2037,Emission (Fire),2.6,1,4.5
2037,Emission (Orchard Removal),2.3,0.9,4.1
2037,Emission (Urban),0.9,0.4,1.8
2037,Harvest (AgExpand),0.1,0,0.2
2037,Harvest (Clearcut),3.2,1.2,5.3
2037,Harvest (Grain),10.2,7.3,14.3
2037,Harvest (Straw),6.6,4.3,10
2037,Harvest (Thinning),0.6,0.2,1
2037,Harvest (Urban),0.1,0,0.2
2037,Leaching,2.2,2.2,2.3
2037,LULCC,36.9,28,46.6
2037,Mortality,11.3,9,13.5
2037,Mortality (Fire),1.4,0.5,2.6
2037,Mortality (Harvest),1.6,0.6,2.7
2037,Mortality (Insects),19.3,0.8,158.8
2037,NECB,-4.3,-60.8,52
2037,NEP,32.7,-29.4,95.2
2037,NPP,145.7,84,211.9
2037,Rh,113.1,104.8,121.6
2038,Emission (AgExpand),0.5,0.2,0.9
2038,Emission (Biomass),7.2,5.4,8.4
2038,Emission (Clearcut),0.4,0.1,0.7
2038,Emission (Fire),2.8,1,5.6
2038,Emission (Orchard Removal),2.4,0.9,4.3
2038,Emission (Urban),0.9,0.3,1.9
2038,Harvest (AgExpand),0.1,0,0.2
2038,Harvest (Clearcut),3.3,1.2,5.3
2038,Harvest (Grain),10.5,7.9,16.2
2038,Harvest (Straw),6.9,4.8,11.5
2038,Harvest (Thinning),0.6,0.2,1.1
2038,Harvest (Urban),0.1,0,0.2
2038,Leaching,2.2,2.1,2.3
2038,LULCC,37.9,30.3,52.3
2038,Mortality,11.3,9,13.5
2038,Mortality (Fire),1.5,0.5,2.9
2038,Mortality (Harvest),1.6,0.6,2.7
2038,Mortality (Insects),20.1,1,142.5
2038,NECB,0.8,-37.2,81.1
2038,NEP,38.7,-2.2,129.6
2038,NPP,151.8,114.4,244.8
2038,Rh,113.1,104.1,118.8
2039,Emission (AgExpand),0.5,0.2,0.9
2039,Emission (Biomass),7.2,4.8,8.5
2039,Emission (Clearcut),0.4,0.2,0.7
2039,Emission (Fire),3.5,1.2,7
2039,Emission (Orchard Removal),2.5,1,4.4
2039,Emission (Urban),0.9,0.3,2
2039,Harvest (AgExpand),0.1,0,0.2
2039,Harvest (Clearcut),3.3,1.2,5.4
2039,Harvest (Grain),11.2,8.9,13.9
2039,Harvest (Straw),7.4,5.6,9.7
2039,Harvest (Thinning),0.6,0.2,1.1
2039,Harvest (Urban),0.1,0,0.2
2039,Leaching,2.2,2.1,2.3
2039,LULCC,39.8,32.1,49.2
2039,Mortality,11.7,7.7,14.7
2039,Mortality (Fire),1.9,0.6,3.9
2039,Mortality (Harvest),1.6,0.6,2.7
2039,Mortality (Insects),8.5,1.1,32.2
2039,NECB,11.3,-25.5,50.6
2039,NEP,51.1,12.1,89.2
2039,NPP,165.8,133.6,207
2039,Rh,114.7,106.5,123.9
2040,Emission (AgExpand),0.5,0.2,0.9
2040,Emission (Biomass),7.2,4.8,8.5
2040,Emission (Clearcut),0.4,0.2,0.7
2040,Emission (Fire),3.6,1.1,8.1
2040,Emission (Orchard Removal),2.5,1,4.6
2040,Emission (Urban),0.9,0.3,1.9
2040,Harvest (AgExpand),0.1,0,0.2
2040,Harvest (Clearcut),3.3,1.2,5.3
2040,Harvest (Grain),10.7,7.5,14.2
2040,Harvest (Straw),7,4.4,9.8
2040,Harvest (Thinning),0.6,0.2,1
2040,Harvest (Urban),0.1,0,0.2
2040,Leaching,2.2,2.1,2.3
2040,LULCC,39,30.4,50.3
2040,Mortality,11.7,8.2,14.7
2040,Mortality (Fire),1.9,0.6,4
2040,Mortality (Harvest),1.6,0.6,2.7
2040,Mortality (Insects),8.3,0.9,23.3
2040,NECB,-1.6,-62.3,37.5
2040,NEP,37.4,-27.4,80
2040,NPP,149.5,83.8,194.9
2040,Rh,112.1,104.5,127.2
2041,Emission (AgExpand),0.5,0.2,0.9
2041,Emission (Biomass),7.2,4.7,8.6
2041,Emission (Clearcut),0.4,0.2,0.7
2041,Emission (Fire),2.9,1.2,5.1
2041,Emission (Orchard Removal),2.6,1,4.7
2041,Emission (Urban),0.9,0.3,1.8
2041,Harvest (AgExpand),0.1,0,0.2
2041,Harvest (Clearcut),3.3,1.2,5.4
2041,Harvest (Grain),10.8,7.9,14.1
2041,Harvest (Straw),7.1,4.7,9.7
2041,Harvest (Thinning),0.6,0.2,1
2041,Harvest (Urban),0.1,0,0.2
2041,Leaching,2.2,2.1,2.3
2041,LULCC,38.7,31.1,47.3
2041,Mortality,11.5,7.7,14
2041,Mortality (Fire),1.6,0.6,3
2041,Mortality (Harvest),1.7,0.6,2.7
2041,Mortality (Insects),10.6,1.5,32.8
2041,NECB,6.8,-38.4,49.3
2041,NEP,45.4,-2.8,92.7
2041,NPP,160.1,111.3,208.8
2041,Rh,114.7,107.2,120.8
2042,Emission (AgExpand),0.5,0.2,0.9
2042,Emission (Biomass),7.2,4.7,8.7
2042,Emission (Clearcut),0.4,0.2,0.7
2042,Emission (Fire),3.1,0.9,5.9
2042,Emission (Orchard Removal),2.7,1.1,4.9
2042,Emission (Urban),0.9,0.3,1.9
2042,Harvest (AgExpand),0.1,0,0.2
2042,Harvest (Clearcut),3.3,1.3,5.4
